__motivo__,Product_ID,EAN13,Marca,Proveedor,Nombre,Categoria,Stock Real,Novedades,Estado_Producto
En catálogo con Product_ID pero sin demanda,1139,8436567350128,226ERS,226ERS SPORTS THINGS SL,"226ERS ISOTONIC GEL 1 gel x 60 Ml: Gel EnergA(c)tico Isotónico - Sin Gluten - Vegano - Con Ciclodextrina, Aromas Naturales y Stevia - Realmente Isotónico Sabor Lima",Hidratación,1,False,Inactivo
En catálogo con Product_ID pero sin demanda,1142,8436567354744,226ERS,226ERS SPORTS THINGS SL,226ERS HIGH ENERGY GEL BCAAA'S - 1 gel x 60 ml - Gel EnergA(c)tico Sin Gluten - Vegano - Con Ciclodextrina - 1g de BCAA y 50g de Hidratos de Carbono Sabor Naranja,Geles Energéticos,0,False,Activo
En catálogo con Product_ID pero sin demanda,1143,8436567356045,226ERS,226ERS SPORTS THINGS SL,"226ERS HIGH ENERGY GEL - 1 Gel x 60 Ml - Gel EnergA(c)tico Sin Cafeina - Sin Gluten, Vegano / 50 Gr de Hidratos de Carbono Sabor Fresa salada",Geles Energéticos,0,False,Inactivo
En catálogo con Product_ID pero sin demanda,1144,8436567356441,226ERS,226ERS SPORTS THINGS SL,226ERS Essential Xc Jersey Azul Talla de ropa XL,Deportes,0,False,Activo
En catálogo con Product_ID pero sin demanda,1145,8436567356458,226ERS,226ERS SPORTS THINGS SL,226ERS Essential Xc Jersey Azul Talla de ropa L,Deportes,0,False,Inactivo
En catálogo con Product_ID pero sin demanda,1146,8436567356465,226ERS,226ERS SPORTS THINGS SL,226ERS Essential Xc Jersey Azul Talla de ropa M,Deportes,0,False,Inactivo
En catálogo con Product_ID pero sin demanda,1148,8436567356489,226ERS,226ERS SPORTS THINGS SL,226ERS Essential Xc Jersey Azul Talla de ropa XS,Deportes,0,False,Activo
En catálogo con Product_ID pero sin demanda,1149,8436567350814,226ERS,226ERS SPORTS THINGS SL,226ERS Night Recovery Cream - Recuperador Muscular Nocturno 1000 gr Sabor Chocolate,Recuperación,0,False,Activo
En catálogo con Product_ID pero sin demanda,1151,0,226ERS,226ERS SPORTS THINGS SL,226ERS Isolate Protein Drink 1 Kg - Batido de Proteínas Sin Gluten - Bajo En AzAocar - Recuperación Y Aporte De ProteAna Low Carb Sabor Sandá,Sin Gluten,0,False,Inactivo
En catálogo con Product_ID pero sin demanda,1153,8436567356601,226ERS,226ERS SPORTS THINGS SL,"226ERS Run Shorts 3\"" - Pantalón Corto Talla de ropa L",Deportes,0,False,Inactivo
En catálogo con Product_ID pero sin demanda,1154,8436567356618,226ERS,226ERS SPORTS THINGS SL,"226ERS Run Shorts 3\"" - Pantalón Corto Talla de ropa M",Deportes,0,False,Activo
En catálogo con Product_ID pero sin demanda,1156,8436567356632,226ERS,226ERS SPORTS THINGS SL,"226ERS Run Shorts 3\"" - Pantalón Corto Talla de ropa XS",Deportes,0,False,Activo
En catálogo con Product_ID pero sin demanda,1158,8436567350616,226ERS,226ERS SPORTS THINGS SL,226ERS RECOVERY DRINK 1 KG - Batido Recuperador Muscular Sin Gluten - Bajo en AzAocar / Low Sugar - ProteAna de Suero de Leche GRASS FED - Creatina y MCT - Ideal despuA(c)s del Ejercicio Sabor Sandá,Recuperación,0,False,Activo
En catálogo con Product_ID pero sin demanda,1160,8436567350388,226ERS,226ERS SPORTS THINGS SL,226ERS Sub9 - Energy Drink - Bebida EnergA(c)tica 1000 gr Sabor Sandá,Energía,0,False,Inactivo
