item_id,Proveedor,Nombre,Categoria,stock_actual,supplier_name,item_name,category,ROP,flag_rotura,flag_bajo
1258,AMIX LEVANTE S.L.,Amix Bcaa Gold 100 Tabs,Aminoacidos,132,,,,0.0,False,False
1262,AMIX LEVANTE S.L.,"Amix Whey Pure Fusion 2,3 Kg - ProteAna Isolada - RA!pida Recuperación Sabor Doble Chocolate Blanco",Proteínas,6,,,,0.0,False,False
1265,AMIX LEVANTE S.L.,Amix Whey Pure Fusion 1 Kg - ProteAna Isolada - Perfecta Para Una RA!pida Recuperación Sabor Chocolate,Proteínas,11,,,,0.0,False,False
1266,AMIX LEVANTE S.L.,Amix Whey Pure Fusion 1 Kg - ProteAna Isolada - Perfecta Para Una RA!pida Recuperación Sabor Moca-Choco-CafA(c),Proteínas,11,,,,0.0,False,False
1268,AMIX LEVANTE S.L.,Amix Predator Protein 2 Kg Proteínas L-Glutamina - Ayuda al Crecimiento Muscular - ProteAna de Suero de Calidad Sabor Vainilla,Proteínas,6,,,,0.0,False,False
1270,AMIX LEVANTE S.L.,"Amix Whey Pure Fusion 2,3 Kg - ProteAna Isolada - RA!pida Recuperación Sabor Fresa",Proteínas,5,,,,0.0,False,False
1272,AMIX LEVANTE S.L.,"Amix Whey Pure Fusion 2,3 Kg - ProteAna Isolada - RA!pida Recuperación Sabor Cacahuete-Choco-Caramelo",Proteínas,5,,,,0.0,False,False
1274,AMIX LEVANTE S.L.,AMIX GH 120 Cápsulas - Suplemento Deportivo - Contiene L- Arginina - Potencia El Desarrollo De Masa Muscular,Masa muscular,13,,,,0.0,False,False
1276,AMIX LEVANTE S.L.,"Amix Carniline ALC 120 caps - Contribuye a la PA(c)rdida de Masa Grasa Corporal Contiene éetil-L-Carnitina, Taurina y Vitamina B6",L-Carnitina,10,,,,0.0,False,False
1277,AMIX LEVANTE S.L.,Amix Glutamina + BCAA 530 gr - Retrasa la Fatiga y éelera la Recuperación de Entrenamientos Intensos Sabor Naranja,Aminoacidos,9,,,,0.0,False,False
1282,AMIX LEVANTE S.L.,Amix Glutamina + BCAA 300 gramos AminoA!cidos - Retrasa la Fatiga y éelera la Recuperación Sabor Cola,Aminoacidos,11,,,,0.0,False,False
1289,AMIX LEVANTE S.L.,"Amix IsoPrime CFM Isolate Protein 1 Kg - Contiene Enzimas Digestivas, Proteínas para Aumentar Masa Muscular Sabor Vainilla",Proteínas,4,,,,0.0,False,False
1291,AMIX LEVANTE S.L.,Amix HMB 120 Cápsulas - Recuperador Muscular / Incrementa la Fuerza - Perfecto para Deportistas,Masa muscular,7,,,,0.0,False,False
1292,AMIX LEVANTE S.L.,"Amix Greenday Probio Daily 60 Cápsulas Vegetales - ProbiA3ticos y PrebiA3ticos, Para Reforzar el Sistema InmunolA3gico y la Flora Intestinal",Vitaminas y Minerales,10,,,,0.0,False,False
1296,AMIX LEVANTE S.L.,Amix McPro Protein Bar 1 barrita x 35 gr Sustitutivos de comida Recuperación Muscular Sabor Cookies-Cream,Barritas,133,,,,0.0,False,False
1300,AMIX LEVANTE S.L.,Amix Glutamina + BCAA 300 gramos AminoA!cidos - Retrasa la Fatiga y éelera la Recuperación Sabor Naranja,Aminoacidos,8,,,,0.0,False,False
1301,AMIX LEVANTE S.L.,Amix Diuretic Complex 90 Cápsulas - Evita la retención de lAquidos - Extractos Vegetales y Vitaminas,Definición,6,,,,0.0,False,False
1302,AMIX LEVANTE S.L.,Amix Omega 3 90 Cápsulas Vitaminas Disminuye Colesterol,Vitaminas y Minerales,6,,,,0.0,False,False
1305,AMIX LEVANTE S.L.,Amix Zero Hero 31% Protein Bar Cobertura Parcial 1 barrita x 65 gr Sabor Naranja,Barritas,62,,,,0.0,False,False
1306,AMIX LEVANTE S.L.,Amix OatMash - Harina de Avena Mr Poppers 2 kg Hidratos Altos en Proteínas Sabor Cookies - Peanut Butter,Energía,8,,,,0.0,False,False
1307,AMIX LEVANTE S.L.,Amix Dunky Zero Mr Poppers 1 rosquilla x 70 gr Alto en Proteínas Bajo en AzAocar Sabor Black Cookie - Chocolate Negro,Proteínas,53,,,,0.0,False,False
1311,AMIX LEVANTE S.L.,"Amix Predator Protein 4 Kg -ProteAna en Polvo, Crecimiento de Masa Muscular /Contiene Enzimas Digestivas Sabor Cookies-Cream",Proteínas,1,,,,0.0,False,False
1312,AMIX LEVANTE S.L.,AMIX Arginina 120 Cápsulas - Contiene AminoA!cidos Esenciales + Contribuye A Reducir El Cansancio Y La Fatiga,Aminoacidos,4,,,,0.0,False,False
1313,AMIX LEVANTE S.L.,"Amix CarboJet Gain 2,25 kg Proteínas Hidratos de Carbono y WPC, Contribuye al Aumento de Masa Muscular + Contiene Minerales y Enzimas Digestivas Sabor Chocolate",Hidratos de carbono,3,,,,0.0,False,False
1320,AMIX LEVANTE S.L.,Amix Osteo Glucosamine 1000mg 90 Caps - 100% Sulfato de Glucosamina - Ayuda a Proteger las Articulaciones,Articulaciones,3,,,,0.0,False,False
1321,AMIX LEVANTE S.L.,AMIX Nitronox 1 Shot X 60 Ml - Suplemento Deportivo Aporte Extra de Energía Sabor Frutas del Bosque,Pre-Entreno,36,,,,0.0,False,False
1323,AMIX LEVANTE S.L.,Amix Isoprime Cfm Isolate Protein 1 Sobre X 28 Gr - Contiene Enzimas Digestivas / Proteínas Para Aumentar Masa Muscular Sabor Coco-Chocolate,Proteínas,20,,,,0.0,False,False
1324,AMIX LEVANTE S.L.,Amix Carbojet Basic 3 Kg - Fuente de Energía Constante y de Larga Duración Sabor Chocolate,Hidratos de carbono,2,,,,0.0,False,False
1327,AMIX LEVANTE S.L.,Amix Amino Pills 330 tabl - a Base de AminoA!cidos Puros con Alta Concentración / Explo-Tech,Aminoacidos,2,,,,0.0,False,False
1328,AMIX LEVANTE S.L.,Amix CatuaBolix 100 caps,Masa muscular,2,,,,0.0,False,False
1334,AMIX LEVANTE S.L.,Amix Exclusive Protein Bar 1 barrita x 85 gr Sabor Doble Chocolate Holandes,Proteínas,18,,,,0.0,False,False
1338,AMIX LEVANTE S.L.,Amix Whey Pure Fusion 1 Kg - ProteAna Isolada - Perfecta Para Una RA!pida Recuperación Sabor Fresa,Proteínas,1,,,,0.0,False,False
1339,AMIX LEVANTE S.L.,"Amix Protein Nuts Bar 1 barrita x 40 Gr - Barrita con Mezcla de Frutos Secos / Fuente de Fibra, Alto Contenido en ProteAna Snacks Saludables Sabor Cacahuete-Caramelo",Barritas,23,,,,0.0,False,False
1340,AMIX LEVANTE S.L.,Amix Dunky Zero Mr Poppers 1 rosquilla x 70 gr Alto en Proteínas Bajo en AzAocar Sabor Trigo Espelta - Crema Chocolate y Avellana,Proteínas,14,,,,0.0,False,False
1351,AMIX LEVANTE S.L.,Amix HD-Pro Bar - Barrita Proteica 1 barrita x 60 gr Sabor Avellana-Choco,Proteínas,9,,,,0.0,False,False
1352,AMIX LEVANTE S.L.,Amix Glutamina Micro Powder 300 Gr - Aminoacidos Sabor Neutro,Aminoacidos,67,,,,0.0,False,False
1353,AMIX LEVANTE S.L.,Amix Dunky Zero Mr Poppers 1 rosquilla x 70 gr Alto en Proteínas Bajo en AzAocar Sabor Black Cookie - Chocolate Blanco,Proteínas,10,,,,0.0,False,False
1355,AMIX LEVANTE S.L.,AMIX Psyllium Pure 1500 mg 120 Cápsulas - Fuente de Fibra Soluble - Suplemento Alimenticio Natural,Vitaminas y Minerales,1,,,,0.0,False,False
1356,AMIX LEVANTE S.L.,Amix Pure Resveratrol Anti-Ox 60 cA!psulas x 50 mg - Gran Efecto Antioxidante / Cápsulas Vegetarianas V-Caps,Vitaminas y Minerales,1,,,,0.0,False,False
1357,AMIX LEVANTE S.L.,AMIX Nitronox 1 Shot X 60 Ml - Suplemento Deportivo Aporte Extra de Energía Sabor Uva,Pre-Entreno,12,,,,0.0,False,False
1361,AMIX LEVANTE S.L.,Amix Exclusive Protein Bar 1 barrita x 85 gr Sabor Banana-Chocolate,Proteínas,7,,,,0.0,False,False
1362,AMIX LEVANTE S.L.,Amix Tigger Zero Protein Bar 1 Barrita X 60 Gr Sabor Cacahuete-Caramelo,Barritas,7,,,,0.0,False,False
1363,AMIX LEVANTE S.L.,Amix Exclusive Protein Bar 1 barrita x 85 gr Sabor Chocolate Blanco - Coco,Proteínas,6,,,,0.0,False,False
1364,AMIX LEVANTE S.L.,Amix HD-Pro Bar - Barrita Proteica 1 barrita x 60 gr Sabor Caramelo-Chocolate,Proteínas,5,,,,0.0,False,False
1368,AMIX LEVANTE S.L.,Amix Exclusive Protein Bar 1 barrita x 85 gr Sabor Frutas del Bosque,Proteínas,4,,,,0.0,False,False
1369,AMIX LEVANTE S.L.,Amix Low-Carb 33% Protein Bar - Barrita Proteica 1 barrita x 60 gr Regenera los MAosculos Sabor Vainilla-Almendra,Proteínas,4,,,,0.0,False,False
1373,AMIX LEVANTE S.L.,Amix Low-Carb 33% Protein Bar - Barrita Proteica 1 barrita x 60 gr Regenera los MAosculos Sabor Coco-Chocolate,Proteínas,3,,,,0.0,False,False
1375,AMIX LEVANTE S.L.,Amix Predator Protein 1 Sobre X 30 Gr Sabor Chocolate,Proteínas,2,,,,0.0,False,False
1378,AMIX LEVANTE S.L.,Amix Low-Carb 33% Protein Bar - Barrita Proteica 1 barrita x 60 gr Regenera los MAosculos Sabor Mango,Proteínas,1,,,,0.0,False,False
1385,AMIX LEVANTE S.L.,Amix Opti-Pack Osteo Flex 30 packs,Articulaciones,0,,,,0.0,True,False
1389,AMIX LEVANTE S.L.,"Amix IsoPrime CFM Isolate Protein 1 Kg - Contiene Enzimas Digestivas, Proteínas para Aumentar Masa Muscular Sabor Frutas del Bosque",Proteínas,0,,,,0.0,True,False
1390,AMIX LEVANTE S.L.,"Amix CarboJet Gain 2,25 kg Proteínas Hidratos de Carbono y WPC, Contribuye al Aumento de Masa Muscular + Contiene Minerales y Enzimas Digestivas Sabor PlA!tano",Hidratos de carbono,0,,,,0.0,True,False
1392,AMIX LEVANTE S.L.,"Amix Predator Protein 4 Kg -ProteAna en Polvo, Crecimiento de Masa Muscular /Contiene Enzimas Digestivas Sabor PlA!tano",Proteínas,0,,,,0.0,True,False
1395,AMIX LEVANTE S.L.,"Amix IsoPrime CFM Isolate Protein 2 Kg - Contiene Enzimas Digestivas , Proteínas para Aumentar Masa Muscular Sabor PlA!tano",Proteínas,0,,,,0.0,True,False
